split,global_step,hits_sum,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,341,28122540.000000,104901.000000,0.507717,152.396729
training,342,27563612.000000,102783.000000,0.497466,161.126495
training,343,30789008.000000,86564.000000,0.418967,161.009277
training,344,27522190.000000,92553.000000,0.447953,240.290787
training,345,29232264.000000,101722.000000,0.492331,156.356735
training,346,32535376.000000,99231.000000,0.480275,307.628204
training,347,33282592.000000,92575.000000,0.448060,171.152573
training,348,32087724.000000,102861.000000,0.497844,166.468353
training,349,28130980.000000,102682.000000,0.496977,193.453735
training,350,30819120.000000,116922.000000,0.565899,186.574905
training,351,30594566.000000,98942.000000,0.478876,195.137787
training,352,28931504.000000,96513.000000,0.467120,209.970459
training,353,28122056.000000,115606.000000,0.559529,276.968506
training,354,28439156.000000,121080.000000,0.586023,166.640991
training,355,31869396.000000,97462.000000,0.471713,356.232422
training,356,28655032.000000,98827.000000,0.478319,156.519714
training,357,31680048.000000,107307.000000,0.519362,143.153061
training,358,27652094.000000,92406.000000,0.447242,173.902435
training,359,28748910.000000,86874.000000,0.420467,180.660156
training,360,28228220.000000,120339.000000,0.582437,167.735687
training,361,32922222.000000,120882.000000,0.585065,152.496902
training,362,25390064.000000,94967.000000,0.459637,166.560226
training,363,28222026.000000,115033.000000,0.556756,212.600418
training,364,29259040.000000,109425.000000,0.529613,166.246338
training,365,26381314.000000,98692.000000,0.477666,211.614975
training,366,28224310.000000,105616.000000,0.511178,186.083679
training,367,26094074.000000,110019.000000,0.532488,203.424194
training,368,32698296.000000,109326.000000,0.529134,158.402756
training,369,30786992.000000,99465.000000,0.481407,205.709305
training,370,29346488.000000,109455.000000,0.529759,195.993790
training,371,25256924.000000,91568.000000,0.443186,253.476349
training,372,30467822.000000,106063.000000,0.513341,166.244324
training,373,30988064.000000,101027.000000,0.488967,218.393478
training,374,27337652.000000,101999.000000,0.493672,200.219589
training,375,31063154.000000,101051.000000,0.489083,199.616257
training,376,37293372.000000,112891.000000,0.546389,229.277924
training,377,31137726.000000,111781.000000,0.541016,219.798401
training,378,23577498.000000,95989.000000,0.464584,164.469315
training,379,38142528.000000,112765.000000,0.545779,222.549255
training,380,26339160.000000,93360.000000,0.451859,263.896484
training,381,31231472.000000,97448.000000,0.471645,223.163330
training,382,28090016.000000,117389.000000,0.568159,230.616318
training,383,30633058.000000,95600.000000,0.462701,222.818817
training,384,32114866.000000,111026.000000,0.537362,153.856705
training,385,29541836.000000,96650.000000,0.467783,159.044220
training,386,31239772.000000,100024.000000,0.484113,170.934982
training,387,27990888.000000,90955.000000,0.440219,214.220703
training,388,27767752.000000,94910.000000,0.459361,245.351898
training,389,25845054.000000,95053.000000,0.460053,280.015167
training,390,27940498.000000,99730.000000,0.482690,298.398834
training,391,32444748.000000,113074.000000,0.547274,154.346848
training,392,32276412.000000,91409.000000,0.442416,157.665924
training,393,27548356.000000,100561.000000,0.486712,216.120743
training,394,28991340.000000,112952.000000,0.546684,236.913147
training,395,36149920.000000,114420.000000,0.553789,210.057510
training,396,28724456.000000,121319.000000,0.587180,235.579941
training,397,30212876.000000,108036.000000,0.522891,239.376328
training,398,28633802.000000,102218.000000,0.494732,211.736252
training,399,30629814.000000,98045.000000,0.474535,399.018463
training,400,28132522.000000,90257.000000,0.436841,195.191238
training,401,32764780.000000,104961.000000,0.508008,321.855988
training,402,27473400.000000,125287.000000,0.606385,178.961563
training,403,32521820.000000,112166.000000,0.542880,228.547577
training,404,31154626.000000,108500.000000,0.525136,178.702759
training,405,29389944.000000,120209.000000,0.581808,169.746170
training,406,31656676.000000,101907.000000,0.493226,174.178619
training,407,29267092.000000,113144.000000,0.547613,183.973312
training,408,27936478.000000,103707.000000,0.501938,184.003967
training,409,29429884.000000,100136.000000,0.484655,197.396027
training,410,33568556.000000,109488.000000,0.529918,218.953186
training,411,25993000.000000,103302.000000,0.499978,271.453308
training,412,30758960.000000,117425.000000,0.568333,218.755096
training,413,31147692.000000,98653.000000,0.477477,223.145859
training,414,25034812.000000,96348.000000,0.466321,171.370300
training,415,28749668.000000,107258.000000,0.519125,184.012314
training,416,28115034.000000,108729.000000,0.526245,223.863327
training,417,32325544.000000,107460.000000,0.520103,221.527008
training,418,26278420.000000,100940.000000,0.488546,220.342911
training,419,30918204.000000,118651.000000,0.574267,189.566116
training,420,28406096.000000,106788.000000,0.516850,224.544891
training,421,28429280.000000,95751.000000,0.463432,354.485321
training,422,30916334.000000,99579.000000,0.481959,242.550140
training,423,27482276.000000,119523.000000,0.578487,156.604263
training,424,27380668.000000,120563.000000,0.583521,206.898651
training,425,30902060.000000,102057.000000,0.493952,211.109924
training,426,30257190.000000,109553.000000,0.530233,218.436768
training,427,31492336.000000,113013.000000,0.546979,234.591171
training,428,25654672.000000,104904.000000,0.507732,226.134430
training,429,28686280.000000,109073.000000,0.527910,208.590042
training,430,31139956.000000,105893.000000,0.512519,198.741287
training,431,31778104.000000,102538.000000,0.496280,217.568420
training,432,31111908.000000,105942.000000,0.512756,257.517303
training,433,27965970.000000,100950.000000,0.488595,257.958282
training,434,28369464.000000,104041.000000,0.503555,243.487930
training,435,28109672.000000,107318.000000,0.519416,211.145081
training,436,28394224.000000,94332.000000,0.456564,213.333817
training,437,27126252.000000,119265.000000,0.577239,197.186462
training,438,30928486.000000,112377.000000,0.543901,264.175293
training,439,25751722.000000,112631.000000,0.545130,181.829788
training,440,29736540.000000,103008.000000,0.498555,255.038086
training,441,26832700.000000,90281.000000,0.436957,282.950195
training,442,30965072.000000,116632.000000,0.564495,206.125443
training,443,29999482.000000,99724.000000,0.482661,221.448227
training,444,29031320.000000,96545.000000,0.467275,197.765152
training,445,32179028.000000,108765.000000,0.526419,299.121826
training,446,31437760.000000,108464.000000,0.524962,246.819519
training,447,28812360.000000,94865.000000,0.459143,193.892136
training,448,27224774.000000,124721.000000,0.603645,220.508224
training,449,29119100.000000,111920.000000,0.541689,258.173798
training,450,31994142.000000,116625.000000,0.564461,239.548035
training,451,28430782.000000,114070.000000,0.552095,214.881638
training,452,30301232.000000,109115.000000,0.528113,204.689728
training,453,30927702.000000,106009.000000,0.513080,187.814041
training,454,31736628.000000,88168.000000,0.426730,208.692581
training,455,30549718.000000,100139.000000,0.484669,212.861053
training,456,32137724.000000,104820.000000,0.507325,276.322937
training,457,29654898.000000,110596.000000,0.535281,206.565475
training,458,26582684.000000,109338.000000,0.529192,272.148804
training,459,31186178.000000,104362.000000,0.505109,296.810760
training,460,32708098.000000,112617.000000,0.545063,248.003418
training,461,32344480.000000,103099.000000,0.498996,285.578278
training,462,29282048.000000,102047.000000,0.493904,242.513214
training,463,25807854.000000,97387.000000,0.471350,279.281067
training,464,30143008.000000,109760.000000,0.531235,258.704834
training,465,27277282.000000,97749.000000,0.473102,186.459869
training,466,26248828.000000,104550.000000,0.506019,275.306519
training,467,30079238.000000,115150.000000,0.557322,283.405243
training,468,26656452.000000,122317.000000,0.592010,203.319229
training,469,30300670.000000,110674.000000,0.535658,220.647552
training,470,26538118.000000,99041.000000,0.479355,227.523712
training,471,28936448.000000,98228.000000,0.475420,264.425995
training,472,29105260.000000,94517.000000,0.457459,258.719757
training,473,30432356.000000,102828.000000,0.497684,180.409531
training,474,29533056.000000,103536.000000,0.501111,248.958145
training,475,31690216.000000,114905.000000,0.556136,249.815582
training,476,30863894.000000,110722.000000,0.535891,291.912079
training,477,27264724.000000,120140.000000,0.581474,203.270081
training,478,28071688.000000,110195.000000,0.533340,321.585876
training,479,28212688.000000,103010.000000,0.498565,279.556122
training,480,28553844.000000,108354.000000,0.524430,253.576996
training,481,30228496.000000,99748.000000,0.482777,250.549088
training,482,31425188.000000,107040.000000,0.518070,221.916702
training,483,26979978.000000,119880.000000,0.580215,195.997284
training,484,27983776.000000,107600.000000,0.520780,264.793030
training,485,30867116.000000,119015.000000,0.576029,264.250885
training,486,29769722.000000,112473.000000,0.544366,206.485382
training,487,27249900.000000,94861.000000,0.459124,210.564255
training,488,29790378.000000,107122.000000,0.518467,285.628998
training,489,30476024.000000,111125.000000,0.537841,282.701599
training,490,30619822.000000,117841.000000,0.570346,271.044800
training,491,29482732.000000,114091.000000,0.552197,256.812927
training,492,27693352.000000,94208.000000,0.455964,275.958374
training,493,27117748.000000,118373.000000,0.572921,212.889893
training,494,24607318.000000,94689.000000,0.458292,313.966705
training,495,30111708.000000,110666.000000,0.535620,249.279739
training,496,28548568.000000,107439.000000,0.520001,207.998947
training,497,25090784.000000,98588.000000,0.477163,341.062714
training,498,30700064.000000,90122.000000,0.436187,190.134048
training,499,26557572.000000,118122.000000,0.571707,232.654205
training,500,25170508.000000,101180.000000,0.489708,288.115082
training,501,26495424.000000,114582.000000,0.554573,214.351303
training,502,30880928.000000,113619.000000,0.549912,219.768539
training,503,26287552.000000,104930.000000,0.507858,265.480255
training,504,29705272.000000,101720.000000,0.492321,304.565948
training,505,31329460.000000,89948.000000,0.435345,230.695358
training,506,25877372.000000,104424.000000,0.505409,382.443604
training,507,30000480.000000,106298.000000,0.514479,197.060867
training,508,25873484.000000,103009.000000,0.498560,297.700378
training,509,31250590.000000,114871.000000,0.555972,240.553146
training,510,27136798.000000,106950.000000,0.517634,328.146423
training,511,30541940.000000,104299.000000,0.504804,215.124985
training,512,28181468.000000,97609.000000,0.472424,246.993378
