split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,359,25723732.000000,746.000000,281.000000,97235.000000,0.470614,256.465607
training,360,28446292.000000,770.000000,282.000000,92188.000000,0.446187,339.570618
training,361,26895912.000000,665.000000,274.000000,98985.000000,0.479084,190.460571
training,362,33068348.000000,684.000000,317.000000,121580.000000,0.588443,161.721664
training,363,28163964.000000,691.000000,282.000000,102626.000000,0.496706,212.619385
training,364,27332944.000000,713.000000,271.000000,100003.000000,0.484011,178.554810
training,365,29141168.000000,648.000000,294.000000,89547.000000,0.433404,182.762436
training,366,37769700.000000,627.000000,332.000000,114060.000000,0.552047,177.350372
training,367,30333400.000000,692.000000,310.000000,87436.000000,0.423187,177.730179
training,368,30708400.000000,612.000000,294.000000,100072.000000,0.484345,179.567612
training,369,26055214.000000,730.000000,289.000000,94972.000000,0.459661,328.472351
training,370,32139984.000000,676.000000,311.000000,90071.000000,0.435941,167.014908
training,371,27390656.000000,696.000000,293.000000,113982.000000,0.551669,173.914047
training,372,27513838.000000,699.000000,296.000000,118567.000000,0.573860,175.478271
