split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,263,21671176.000000,439.000000,150.000000,79274.000000,0.383684,23.921375
training,264,18663264.000000,444.000000,152.000000,93359.000000,0.451854,30.159391
training,265,18082816.000000,420.000000,165.000000,98003.000000,0.474331,26.817120
training,266,20449830.000000,433.000000,163.000000,82099.000000,0.397356,33.987072
training,267,17320648.000000,573.000000,160.000000,75398.000000,0.364924,36.461792
training,268,16951096.000000,435.000000,146.000000,74232.000000,0.359280,31.775871
training,269,14808834.000000,406.000000,148.000000,80208.000000,0.388204,24.277536
training,270,19409060.000000,464.000000,158.000000,83720.000000,0.405202,29.611073
training,271,17914412.000000,423.000000,162.000000,99357.000000,0.480885,26.559809
training,272,19488776.000000,470.000000,161.000000,82558.000000,0.399578,27.698015
training,273,19454208.000000,423.000000,166.000000,103043.000000,0.498725,28.203297
training,274,20164772.000000,485.000000,173.000000,84554.000000,0.409239,24.918880
training,275,18263394.000000,495.000000,154.000000,81305.000000,0.393513,25.237921
training,276,19284812.000000,364.000000,177.000000,89451.000000,0.432940,26.001663
training,277,22294052.000000,448.000000,167.000000,84909.000000,0.410957,28.191328
training,278,22431852.000000,427.000000,156.000000,83222.000000,0.402792,26.788256
training,279,22993480.000000,438.000000,152.000000,81930.000000,0.396538,23.060480
training,280,19342660.000000,393.000000,160.000000,111154.000000,0.537982,25.562496
training,281,18188536.000000,433.000000,176.000000,91341.000000,0.442087,25.722431
training,282,23166116.000000,454.000000,161.000000,81468.000000,0.394302,31.803808
training,283,20019254.000000,518.000000,150.000000,87856.000000,0.425220,26.617472
training,284,19084732.000000,492.000000,152.000000,84074.000000,0.406915,27.252224
training,285,23176308.000000,451.000000,171.000000,87058.000000,0.421358,29.818239
training,286,20655096.000000,468.000000,161.000000,83508.000000,0.404176,37.293537
training,287,21138190.000000,466.000000,164.000000,85399.000000,0.413328,29.450304
training,288,16923948.000000,451.000000,170.000000,91263.000000,0.441710,26.898815
training,289,18139804.000000,394.000000,161.000000,104205.000000,0.504349,23.675360
training,290,21839140.000000,452.000000,156.000000,81639.000000,0.395130,24.873983
training,291,20506980.000000,467.000000,147.000000,92965.000000,0.449947,24.906113
training,292,16094673.000000,441.000000,151.000000,86166.000000,0.417041,28.885248
training,293,16865620.000000,580.000000,157.000000,77949.000000,0.377271,31.847328
training,294,16057318.000000,463.000000,144.000000,71663.000000,0.346847,38.048927
training,295,17154342.000000,487.000000,168.000000,87198.000000,0.422035,35.582592
training,296,20395400.000000,417.000000,152.000000,99876.000000,0.483397,33.181633
training,297,17835228.000000,419.000000,156.000000,66821.000000,0.323411,23.490433
training,298,17098606.000000,483.000000,171.000000,91651.000000,0.443588,30.522207
training,299,18988212.000000,462.000000,166.000000,82334.000000,0.398494,29.642529
training,300,18192488.000000,433.000000,168.000000,95787.000000,0.463606,27.773632
training,301,15333110.000000,392.000000,150.000000,89105.000000,0.431265,24.303776
training,302,22860264.000000,482.000000,167.000000,92132.000000,0.445916,28.979679
training,303,24109828.000000,416.000000,148.000000,81313.000000,0.393552,22.885792
training,304,17447706.000000,382.000000,166.000000,79243.000000,0.383533,24.630913
training,305,15926044.000000,587.000000,159.000000,74627.000000,0.361192,33.674721
training,306,18836884.000000,510.000000,165.000000,92726.000000,0.448791,34.829441
training,307,21238340.000000,406.000000,174.000000,107892.000000,0.522194,28.956833
training,308,19291030.000000,461.000000,150.000000,93752.000000,0.453757,29.350624
training,309,17866978.000000,420.000000,170.000000,94858.000000,0.459110,26.470816
training,310,23763704.000000,460.000000,148.000000,81864.000000,0.396219,29.260639
training,311,22872820.000000,484.000000,170.000000,89571.000000,0.433521,34.065247
training,312,19607792.000000,442.000000,152.000000,79110.000000,0.382890,21.734432
training,313,17473796.000000,557.000000,167.000000,77251.000000,0.373892,49.868767
training,314,16746975.000000,431.000000,156.000000,87980.000000,0.425820,24.026304
training,315,18726344.000000,380.000000,170.000000,92014.000000,0.445345,30.159361
training,316,18778588.000000,516.000000,171.000000,70496.000000,0.341198,28.134848
training,317,17059196.000000,450.000000,169.000000,92430.000000,0.447358,29.761728
training,318,21340316.000000,420.000000,168.000000,74575.000000,0.360941,30.359327
training,319,16614774.000000,447.000000,168.000000,82856.000000,0.401020,26.602625
training,320,18911212.000000,446.000000,175.000000,97110.000000,0.470009,28.022848
training,321,18783908.000000,472.000000,169.000000,81171.000000,0.392865,36.495838
training,322,17062668.000000,455.000000,167.000000,94288.000000,0.456351,29.730495
training,323,19050136.000000,503.000000,174.000000,74604.000000,0.361081,30.592319
training,324,19175788.000000,394.000000,177.000000,92220.000000,0.446342,29.209568
training,325,18067434.000000,417.000000,165.000000,101065.000000,0.489151,24.617855
training,326,16574492.000000,475.000000,165.000000,88934.000000,0.430438,29.773825
training,327,16990694.000000,408.000000,161.000000,102602.000000,0.496590,26.875904
training,328,18366488.000000,428.000000,170.000000,102396.000000,0.495593,36.269855
training,329,18536850.000000,420.000000,178.000000,93853.000000,0.454245,28.737600
training,330,17167276.000000,412.000000,170.000000,92406.000000,0.447242,24.105185
training,331,18285300.000000,400.000000,161.000000,106501.000000,0.515461,27.935425
training,332,17131410.000000,436.000000,171.000000,87450.000000,0.423255,24.309952
training,333,16546509.000000,363.000000,162.000000,74859.000000,0.362315,28.309441
training,334,16403505.000000,470.000000,172.000000,88377.000000,0.427742,39.235168
training,335,18447048.000000,439.000000,166.000000,100931.000000,0.488503,25.923456
training,336,20735872.000000,482.000000,162.000000,86740.000000,0.419819,32.491425
training,337,22631292.000000,426.000000,156.000000,84950.000000,0.411155,26.475840
training,338,22851240.000000,401.000000,155.000000,85144.000000,0.412094,26.332191
training,339,18942780.000000,387.000000,159.000000,84699.000000,0.409940,30.175968
training,340,18732730.000000,483.000000,148.000000,86453.000000,0.418430,31.959808
training,341,20559032.000000,428.000000,171.000000,71008.000000,0.343676,26.321600
training,342,16670661.000000,402.000000,154.000000,79361.000000,0.384105,33.182400
training,343,23092672.000000,436.000000,152.000000,84656.000000,0.409732,25.352032
training,344,19515320.000000,423.000000,155.000000,101266.000000,0.490124,23.864351
training,345,23398068.000000,435.000000,186.000000,100496.000000,0.486397,28.092800
training,346,19095156.000000,465.000000,167.000000,81064.000000,0.392347,36.897888
training,347,16641453.000000,446.000000,154.000000,92967.000000,0.449957,26.938816
training,348,20165428.000000,457.000000,155.000000,81124.000000,0.392637,25.060928
training,349,18452292.000000,444.000000,169.000000,97799.000000,0.473344,24.796192
training,350,15512152.000000,453.000000,146.000000,82733.000000,0.400425,26.948896
training,351,15910534.000000,466.000000,152.000000,94832.000000,0.458984,29.099680
training,352,19450490.000000,435.000000,177.000000,98922.000000,0.478779,27.039295
training,353,18036430.000000,459.000000,150.000000,90492.000000,0.437978,23.514879
training,354,16453134.000000,549.000000,155.000000,79352.000000,0.384061,30.933952
training,355,19803608.000000,403.000000,161.000000,85322.000000,0.412956,40.593536
training,356,18184648.000000,478.000000,150.000000,78872.000000,0.381738,28.842112
training,357,15865283.000000,459.000000,149.000000,85335.000000,0.413019,25.690144
training,358,18009872.000000,428.000000,156.000000,86468.000000,0.418502,28.602240
training,359,19776704.000000,400.000000,159.000000,83700.000000,0.405105,33.190689
training,360,18802296.000000,400.000000,164.000000,94601.000000,0.457866,23.331488
training,361,15873486.000000,463.000000,146.000000,76735.000000,0.371395,37.669537
training,362,18707412.000000,460.000000,156.000000,99126.000000,0.479767,29.230272
training,363,17859832.000000,376.000000,174.000000,88280.000000,0.427272,27.871616
training,364,20645406.000000,458.000000,159.000000,80298.000000,0.388640,31.393152
training,365,17149804.000000,468.000000,149.000000,80747.000000,0.390813,26.040672
training,366,20140028.000000,470.000000,159.000000,86870.000000,0.420448,32.407040
training,367,18903072.000000,478.000000,156.000000,91416.000000,0.442450,25.019424
training,368,18662008.000000,425.000000,164.000000,108006.000000,0.522745,22.702017
training,369,19322060.000000,419.000000,153.000000,102836.000000,0.497723,32.248257
training,370,17412568.000000,536.000000,152.000000,83811.000000,0.405642,28.302719
