split,global_step,hits_sum,hits_max,hits_p95,visible_gaussians,visible_gaussians_frac,forward_render_ms
training,20169,19205080.000000,200.000000,75.000000,273461.000000,0.185718,40.716896
training,20170,20000428.000000,180.000000,85.000000,304165.000000,0.206571,45.682655
training,20171,22718388.000000,210.000000,90.000000,291702.000000,0.198107,49.310783
training,20172,17287412.000000,160.000000,79.000000,388279.000000,0.263696,35.693985
training,20173,18329486.000000,173.000000,78.000000,337809.000000,0.229420,44.611809
training,20174,22957892.000000,184.000000,90.000000,269347.000000,0.182925,44.560062
training,20175,21442140.000000,203.000000,88.000000,326453.000000,0.221708,41.000706
training,20176,23156664.000000,147.000000,89.000000,239672.000000,0.162771,35.183647
training,20177,17913308.000000,200.000000,78.000000,374169.000000,0.254113,36.025826
training,20178,18063184.000000,161.000000,80.000000,389660.000000,0.264634,33.216030
training,20179,18804732.000000,177.000000,78.000000,339014.000000,0.230238,40.552448
training,20180,18747932.000000,179.000000,80.000000,325935.000000,0.221356,36.106880
training,20181,20347496.000000,167.000000,86.000000,349527.000000,0.237378,42.705566
training,20182,19458724.000000,181.000000,80.000000,334583.000000,0.227229,38.706944
training,20183,22860904.000000,182.000000,88.000000,228829.000000,0.155407,40.109570
training,20184,19304580.000000,184.000000,79.000000,354788.000000,0.240951,41.640224
training,20185,22813432.000000,215.000000,91.000000,297685.000000,0.202170,47.977154
training,20186,18728048.000000,226.000000,76.000000,374924.000000,0.254626,36.465183
training,20187,18826016.000000,163.000000,73.000000,287612.000000,0.195329,31.443008
training,20188,17767536.000000,182.000000,77.000000,356188.000000,0.241902,33.437408
training,20189,18259180.000000,180.000000,79.000000,351588.000000,0.238778,39.024704
training,20190,23298552.000000,153.000000,90.000000,242971.000000,0.165011,41.584320
training,20191,20579940.000000,152.000000,85.000000,331355.000000,0.225037,30.346497
training,20192,21282592.000000,201.000000,86.000000,273339.000000,0.185636,56.806946
training,20193,22362472.000000,194.000000,91.000000,325440.000000,0.221020,47.445599
training,20194,22836532.000000,177.000000,90.000000,263231.000000,0.178771,39.279938
training,20195,20848190.000000,155.000000,88.000000,344900.000000,0.234236,39.106014
training,20196,20460168.000000,189.000000,88.000000,241823.000000,0.164232,38.655647
training,20197,18759754.000000,224.000000,77.000000,338016.000000,0.229560,44.936447
training,20198,19718952.000000,204.000000,80.000000,298327.000000,0.202606,36.159103
training,20199,21606896.000000,155.000000,90.000000,332373.000000,0.225728,39.760128
training,20200,23041296.000000,171.000000,89.000000,237176.000000,0.161076,41.755840
training,20201,18560424.000000,151.000000,80.000000,335614.000000,0.227929,25.184353
training,20202,19960936.000000,163.000000,79.000000,267132.000000,0.181420,27.972416
training,20203,19721764.000000,182.000000,83.000000,305031.000000,0.207159,28.372448
training,20204,18177112.000000,165.000000,80.000000,358196.000000,0.243265,29.218529
training,20205,18967256.000000,164.000000,84.000000,311329.000000,0.211436,35.364834
training,20206,18918864.000000,171.000000,84.000000,338178.000000,0.229670,35.163265
training,20207,18143116.000000,186.000000,75.000000,382467.000000,0.259749,43.074623
training,20208,17345992.000000,179.000000,77.000000,362344.000000,0.246083,25.500095
training,20209,17979272.000000,163.000000,80.000000,353141.000000,0.239832,30.290049
training,20210,18792024.000000,162.000000,81.000000,319122.000000,0.216729,28.434784
training,20211,17872708.000000,158.000000,81.000000,340750.000000,0.231417,34.248577
training,20212,17796476.000000,143.000000,81.000000,338399.000000,0.229821,33.382656
training,20213,17931046.000000,158.000000,79.000000,342269.000000,0.232449,26.443104
training,20214,18177712.000000,223.000000,76.000000,393724.000000,0.267394,47.954754
training,20215,18620708.000000,157.000000,77.000000,359026.000000,0.243829,47.757057
training,20216,18112512.000000,160.000000,71.000000,282168.000000,0.191632,25.189247
training,20217,20665652.000000,202.000000,88.000000,252137.000000,0.171236,38.344097
training,20218,18194868.000000,153.000000,76.000000,315758.000000,0.214444,34.607647
training,20219,19175624.000000,194.000000,82.031250,312699.000000,0.212367,44.862015
training,20220,17220984.000000,147.000000,78.000000,353057.000000,0.239775,30.821440
training,20221,19770852.000000,172.000000,85.000000,357724.000000,0.242945,33.070560
training,20222,24105568.000000,171.000000,94.000000,225419.000000,0.153091,42.285633
training,20223,17188240.000000,155.000000,77.000000,340431.000000,0.231201,22.579296
training,20224,18660592.000000,188.000000,81.000000,346384.000000,0.235243,27.542976
training,20225,18021128.000000,171.000000,80.000000,387354.000000,0.263068,34.108864
training,20226,21430462.000000,181.000000,87.000000,272929.000000,0.185357,42.301186
training,20227,22637768.000000,205.000000,90.000000,282629.000000,0.191945,43.596001
training,20228,17793414.000000,165.000000,76.000000,327330.000000,0.222303,40.053310
training,20229,22692108.000000,172.000000,90.000000,265481.000000,0.180299,48.445633
training,20230,18645844.000000,151.000000,80.000000,330977.000000,0.224780,25.359039
training,20231,18072228.000000,155.000000,76.000000,313714.000000,0.213056,34.324543
training,20232,18229136.000000,149.000000,72.000000,279123.000000,0.189564,25.250624
training,20233,22109028.000000,159.000000,91.000000,325651.000000,0.221163,34.488670
training,20234,19621794.000000,155.000000,82.000000,340478.000000,0.231232,27.530272
training,20235,20776224.000000,219.000000,83.000000,282937.000000,0.192154,42.535233
training,20236,17598212.000000,156.000000,78.000000,336611.000000,0.228606,22.446720
training,20237,23444664.000000,221.000000,89.000000,245563.000000,0.166772,43.361855
training,20238,22618138.000000,213.000000,91.000000,305978.000000,0.207802,60.788609
training,20239,18342166.000000,182.000000,80.000000,338824.000000,0.230109,27.900000
training,20240,20102816.000000,147.000000,83.000000,340050.000000,0.230942,30.775520
training,20241,20833540.000000,152.000000,90.000000,323753.000000,0.219874,35.642303
training,20242,20412144.000000,150.000000,89.000000,332670.000000,0.225930,31.625792
training,20243,17230600.000000,163.000000,78.000000,325873.000000,0.221314,29.561152
training,20244,17996788.000000,158.000000,81.000000,338052.000000,0.229585,32.117695
training,20245,20757702.000000,218.000000,83.000000,282163.000000,0.191628,45.786591
training,20246,18122728.000000,165.000000,81.000000,336230.000000,0.228347,36.771584
training,20247,17395052.000000,174.000000,78.000000,353363.000000,0.239983,31.922049
training,20248,22946680.000000,230.000000,89.000000,252534.000000,0.171506,59.430466
training,20249,18296284.000000,158.000000,82.000000,313724.000000,0.213063,34.241344
training,20250,19524296.000000,163.000000,84.000000,341089.000000,0.231647,33.172066
training,20251,22596718.000000,163.000000,92.000000,237390.000000,0.161221,38.892864
training,20252,19839448.000000,162.000000,80.000000,291568.000000,0.198016,31.822817
training,20253,20991788.000000,164.000000,88.000000,332628.000000,0.225901,41.019520
training,20254,18497204.000000,141.000000,73.000000,286549.000000,0.194607,30.029760
training,20255,20733388.000000,162.000000,82.000000,241943.000000,0.164313,32.675713
training,20256,20034310.000000,153.000000,80.000000,277182.000000,0.188246,32.599392
